t [s]	neMax [m^-3]	ne [10^19 m^-3]	TeMax [keV]	Zeff [s]	Ell [V/m]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	Integrated Spri [a.u.]
1.25435	2.06679988019196E19	2.06679988019196	4.4058370295282	9.0568	0.159595719621331	2.20017094325684	0.0725378726187005	7.40046732110078E17	4.6543534932914E21
1.2554	2.06863575502108E19	2.06863575502108	4.41104567796586	8.8844	0.161874435200987	2.19952497517929	0.0735951794263175	9.36817923109494E17	4.65435437364535E21
1.25645	2.07051325436828E19	2.07051325436828	4.41579003842132	8.712	0.1637647639258	2.19915593771292	0.0744670994527618	1.14891542532381E18	4.65435546865535E21
1.2575	2.0724329246109E19	2.0724329246109	4.42032648216278	8.5395	0.165372084291476	2.19893586072011	0.0752055061020831	1.37809637925839E18	4.65435679533655E21
1.25855	2.07439531212629E19	2.07439531212629	4.42474892149409	8.3671	0.165480719521652	2.19881816474671	0.0752589378124927	1.4989223212404E18	4.65435830577137E21
1.2596	2.07640096329178E19	2.07640096329178	4.42919794173592	8.1947	0.166964982909511	2.19873332131532	0.0759368957075839	1.77822930789952E18	4.65436002627597E21
1.2603	2.07845042448473E19	2.07845042448473	4.434296768706	8.0223	0.168832739961477	2.19837279354382	0.0767989580553879	2.15653494702042E18	4.65436140344346E21
1.26135	2.08054424208247E19	2.08054424208247	4.43944655824806	7.8499	0.169598799801149	2.1980347231266	0.0771592905319998	2.44108366239014E18	4.65436381719323E21
1.2624	2.08268296246234E19	2.08268296246234	4.44408396907652	7.6775	0.168139122556046	2.19799820767797	0.0764964784633167	2.41565666244856E18	4.6543663669819E21
1.26345	2.08486713200169E19	2.08486713200169	4.44813192115328	7.505	0.168909397130351	2.1983009604168	0.0768363386869127	2.73305743277544E18	4.6543690700568E21
1.2645	2.08709729707787E19	2.08709729707787	4.45154176621546	7.5669	0.170879602732626	2.1989667826929	0.0777090423000222	2.98075247212575E18	4.654372069807E21
1.26555	2.08937400406821E19	2.08937400406821	4.45454914287545	7.6556	0.173661869883651	2.1998793258576	0.0789415436757879	3.35739621535868E18	4.65437539733507E21
1.2666	2.09121019706887E19	2.09121019706887	4.45771085030833	7.7444	0.175556509151046	2.20025096048364	0.079789311448571	3.59151253036707E18	4.65437904551216E21
1.2673	2.09305125260846E19	2.09305125260846	4.46150443112272	7.8331	0.177171380042532	2.20031551061814	0.0805208976565179	3.78152339349172E18	4.65438162607473E21
1.26835	2.09489696003546E19	2.09489696003546	4.46593026691018	7.9219	0.178249367085484	2.20007332220722	0.0810197393360761	3.86613809550827E18	4.65438564109701E21
1.2694	2.09674710869837E19	2.09674710869837	4.47088179837401	8.0106	0.177731678156813	2.19957761157256	0.0808026401167747	3.62269462926137E18	4.65438957273419E21
1.27045	2.09860148794569E19	2.09860148794569	4.47558136784553	8.0994	0.178066470936343	2.19921123300105	0.0809683345848287	3.55738098840447E18	4.65439334227389E21
1.2715	2.1004598871259E19	2.1004598871259	4.4793152898785	8.1882	0.176884111015726	2.19932385768799	0.0804265867427425	3.20582901481892E18	4.65439689295914E21
1.27255	2.10232209558751E19	2.10232209558751	4.48153994185827	8.2769	0.176473624615864	2.20018099624404	0.0802086850659672	3.00930780270294E18	4.65440015590597E21
1.2736	2.104187902679E19	2.104187902679	4.48221769303144	8.3657	0.176193680683114	2.20180067074373	0.0800225392898984	2.83934158704617E18	4.6544032264469E21
1.2743	2.10605709774888E19	2.10605709774888	4.48126469171189	8.4544	0.176826728861696	2.20422523585168	0.0802217150886457	2.81617205089417E18	4.65440520587668E21
1.27535	2.10731339743576E19	2.10731339743576	4.47837996644324	8.5432	0.176312199384936	2.20696078177301	0.0798891402335172	2.61371661151808E18	4.65440805656822E21
