t [s]	neMax [m^-3]	ne [10^19 m^-3]	TeMax [keV]	Zeff [1]	Ell [V/m]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	int(Spri) [a.u.]
0.10137	7.974E19	7.974	2.85225039892339	12.853	0.380026278043355	13.1121831748014	0.0289826852612675	21054525355792.3	6.5478438431109E19
0.102445	7.974E19	7.974	2.87087446628158	12.826	0.386254790797275	13.0271212239816	0.0296500496277119	36509358269233.3	6.54784399153187E19
0.10352	7.974E19	7.974	2.88969477161308	12.799	0.390458995199638	12.9422768309218	0.0301692662195844	54841813526601.8	6.5478443309324E19
0.10459	7.974E19	7.974	2.90873919615263	12.772	0.396830559992395	12.8575396998643	0.0308636464872501	93225154064927.2	6.54784483154542E19
0.10567	7.974E19	7.974	2.92775837506081	12.745	0.403448165977087	12.7740150996262	0.0315835047031449	157962931132801	6.54784552244989E19
0.10638	7.974E19	7.974	2.94668675061681	12.718	0.409168591864629	12.6919597691391	0.0322384091430494	249863941720198	6.54784651131745E19
0.10746	7.974E19	7.974	2.96549682288617	12.692	0.415734905760143	12.611454985369	0.0329648645808475	407893157579750	6.54784746774651E19
0.10853	7.974E19	7.974	2.98415295442166	12.665	0.422919500321904	12.5326115190138	0.0337455206107901	677031049395706	6.5478495674037E19
0.109605	7.974E19	7.974	3.00261237667456	12.638	0.429478481309414	12.4555636890114	0.0344808546632307	1.0688676077486E15	6.54785257705039E19
0.11068	7.974E19	7.974	3.02088081555729	12.611	0.435735081830624	12.3802400606078	0.0351960123307361	1.63755546647379E15	6.54785686730262E19
0.1114	7.974E19	7.974	3.03894483467764	12.584	0.442078452131979	12.3066497503733	0.0359219171016523	2.4852491352982E15	6.54786275813223E19
0.11247	7.974E19	7.974	3.05678821231638	12.557	0.449205103192513	12.2348121928746	0.0367153247725473	3.85868596418886E15	6.54786809995093E19
0.11355	7.974E19	7.974	3.07452321125316	12.53	0.454377308755415	12.1642372235791	0.0373535389358119	5.41192561247681E15	6.54787881657688E19
0.11462	7.974E19	7.974	3.09230963387601	12.503	0.459462745307354	12.0942706646767	0.0379901159851905	7.50217656875917E15	6.54789326575024E19
0.1157	7.974E19	7.974	3.11000858464487	12.459	0.465398968023287	12.0254425906526	0.0387011924521632	1.08101856640312E16	6.54790526918429E19
0.11641	7.974E19	7.974	3.12755132989027	12.379	0.471893393806582	11.9579906918413	0.0394625991913964	1.61314779207423E16	6.54792651332044E19
0.117485	7.974E19	7.974	3.14488095887259	12.298	0.477454956910694	11.892097087354	0.0401489286038891	2.2931911781781E16	6.54795201045347E19
0.11856	7.974E19	7.974	3.16181799946985	12.218	0.483654440609882	11.8283942014862	0.0408892730806278	3.30615149347122E16	6.54798182276808E19
0.119635	7.974E19	7.974	3.178169053216	12.138	0.489657256191395	11.7675394432651	0.0416108446929099	4.67571311457334E16	6.54801741869292E19
0.12071	7.974E19	7.974	3.19412619232797	12.057	0.494530466846057	11.7087514516219	0.0422359692994895	6.28396989184678E16	6.54804580314704E19
0.12143	7.974E19	7.974	3.20969837575991	11.977	0.499988477466824	11.6519452337104	0.0429103010216954	8.55441538681266E16	6.54809650981378E19
0.1225	7.974E19	7.974	3.22488098974946	11.896	0.505250568673216	11.5970883297586	0.043567019091915	1.14766611514288E17	6.54815267360912E19
0.12357	7.974E19	7.974	3.23968396470715	11.816	0.511008013982484	11.5440981584957	0.0442657370863065	1.55311395272092E17	6.54821468892621E19
0.12429	7.974E19	7.974	3.25411747165008	11.735	0.512045606956164	11.4928947762047	0.0445532319687047	1.7811732828871E17	6.54828317570685E19
0.125365	7.974E19	7.974	3.26778666876397	11.655	0.515048083622558	11.4448198374069	0.0450027253324813	2.17122413945043E17	6.54833325125132E19
0.12644	7.974E19	7.974	3.28062818796443	11.574	0.51733526096259	11.4000208339029	0.0453802031154248	2.57242851776167E17	6.54841372367653E19
0.127515	7.974E19	7.974	3.29259519398542	11.494	0.519037171154118	11.3585872200144	0.0456955747312964	2.97404861958629E17	6.54850507640655E19
0.12859	7.974E19	7.974	3.30375644525618	11.414	0.52272079783459	11.3202139173379	0.0461758763263296	3.64844902433081E17	6.54860379230209E19
0.1293	7.974E19	7.974	3.31417157317673	11.333	0.525632873216579	11.2846389709497	0.0465795028595712	4.34717185498736E17	6.54870674685304E19
0.13038	7.974E19	7.974	3.32424067707742	11.253	0.527803604262118	11.2504578711684	0.0469139665519502	5.04295161539451E17	6.54877780225719E19
0.13145	7.974E19	7.974	3.33394756145518	11.172	0.527769576865306	11.2177018389455	0.0470479234020108	5.45495405594305E17	6.54888968433357E19
