time	neMax	n	TeMax	Ell	Zeff	ED	Ell/ED	a	b	c	d	Spri	Integrated Spri
1.1944	2.47557487882053E19	2.47557487882053	3.19253777669029	0.243410217769279	20	3.63685886628246	0.0669286949862007	14259715979831.1	42087.3270211682	4.84074942187617E-10	0.27896128826432	81043607.0517331	997841920.671628
1.19545	2.47299564368298E19	2.47299564368298	3.19182841080225	0.244025360842768	20	3.63387714975701	0.0671528922927638	14234761902259.4	41536.7636016178	5.04871730079784E-10	0.280909681890182	83855320.5534246	997934466.668739
1.1965	2.47040342056354E19	2.47040342056354	3.19179818350767	0.245005998426664	20	3.63010245483246	0.0674928604564611	14205137241015.6	40719.0161564725	5.37888164479977E-10	0.283740455599692	88278706.3141772	998024952.33185
1.19755	2.4677991859197E19	2.4677991859197	3.192406072549	0.246076365990683	20	3.62558519052982	0.067872178712955	14171155047734.2	39830.2998081328	5.76924437022132E-10	0.286816624882668	93398968.7359595	998082681.780985
1.1987	2.46518391620897E19	2.46518391620897	3.19328984500392	0.246820843016352	20	3.62074059713318	0.0681686070556335	14135264847475.4	39152.6666742576	6.09119553503402E-10	0.289166793474461	97480165.4183876	998165151.795745
1.1994	2.46255858788885E19	2.46255858788885	3.194171834465	0.246232320878567	20	3.61588593345901	0.0680973696100577	14099332050972.5	39314.1869831857	6.01243489089691E-10	0.288479754314947	96142091.0136893	998244622.904689
1.20045	2.45992417741684E19	2.45992417741684	3.19508006023904	0.246119567142216	20	3.61099096617922	0.0681584555174434	14063183172108.1	39175.6328682649	6.07991751962112E-10	0.288881966457567	96764882.5714009	998325052.998626
1.2015	2.45728166125044E19	2.45728166125044	3.19603382590686	0.247821069666865	20	3.60603550308988	0.0687239683177041	14026704156394.8	37921.5734184854	6.7365113156877E-10	0.293428128113324	105142614.586448	998403135.339151
1.20255	2.45463201584714E19	2.45463201584714	3.19705516794398	0.24714764638238	20	3.6009964216811	0.0686331274572611	13989764443662.4	38119.5886203979	6.62707019113719E-10	0.292567457905398	103396585.186002	998451755.588886
1.2036	2.45197621766444E19	2.45197621766444	3.19840766474706	0.24703623362008	20	3.59557922005604	0.0687055460333399	13950654706600.7	37961.6259187589	6.71419116840111E-10	0.29300986303009	104187432.717979	998523691.139404
1.2043	2.44931524315986E19	2.44931524315986	3.20025690840929	0.249072129027755	20	3.58960174281215	0.0693871205981273	13908327670223.2	36514.4250274069	7.58401698283931E-10	0.298375843238648	114921777.983722	998596174.086826
1.20535	2.44665006879088E19	2.44665006879088	3.20222811630678	0.249741375793899	20	3.58348852747171	0.0696922492926469	13865263491054.9	35888.9790802811	8.00401346794526E-10	0.300636513101069	119739866.026475	998669610.367681
1.2064	2.44441273969837E19	2.44441273969837	3.20426440362483	0.249301073497616	20	3.57793642201618	0.0696773346679911	13826726361435.6	35919.2369957438	7.98302577437163E-10	0.300285668470056	119055265.424791	998743609.881324
