t	n	neMax	TeMax	Ell	Zeff	ED	EllED	10	20	30	40	Spri	intSpri
0.48448	11.0742568938997	1.10742568938997E20	1.57424975961591	0.207161563536802	1.467	32.9934236782139	0.00627887440713205	126990524813968	126990524813968	1.25775957806498E-26	8.75032134894374E-8	1.77486069425711E-5	9.90760362531216E16
0.48556	11.0809356437707	1.10809356437707E20	1.5733372379199	0.20729039613719	1.4734	33.0324690462635	0.00627535277023557	127495607320869	127495607320869	1.19211002919933E-26	8.61658180696938E-8	1.66971289576372E-5	9.90760362531216E16
0.48664	11.0871965883233	1.10871965883233E20	1.57230033265384	0.206541171325517	1.4797	33.072929693725	0.00624502193298904	128003976546426	128003976546426	9.12794647703204E-27	7.49063762728742E-8	1.12031150463207E-5	9.90760362531216E16
0.48736	11.0932449284553	1.10932449284553E20	1.57117180802626	0.206537606847991	1.4861	33.1147400277498	0.00623702939159161	128524030885305	128524030885305	8.34416937825261E-27	7.2364413998426E-8	9.97417161683368E-6	9.90760362531216E16
0.48844	11.0990792159375	1.10990792159375E20	1.5700288419214	0.205775241891264	1.4925	33.1562760096337	0.00620622297363779	129042565812667	129042565812667	6.34307174360229E-27	6.26799354503663E-8	6.62055112440851E-6	9.90760362531216E16
0.48952	11.104698002541	1.1104698002541E20	1.56882268343687	0.204281496510215	1.4989	33.198565465099	0.00615332300201262	129565565005329	129565565005329	4.0119497813145E-27	4.86541340677928E-8	3.27683385680348E-6	9.90760362531216E16
0.490605	11.1100998400365	1.11100998400365E20	1.56752258820483	0.202904808276799	1.5052	33.2422628940397	0.00610382057694334	130093076696645	130093076696645	2.59279331567483E-27	3.82285031359559E-8	1.67750398820095E-6	9.90760362531216E16
0.49169	11.115283280195	1.1115283280195E20	1.56612478753821	0.20225890217991	1.5116	33.2874554307322	0.00607612986822588	130633273781155	130633273781155	2.00180105449777E-27	3.3439797546667E-8	1.14233155779426E-6	9.90760362531216E16
0.49241	11.1202468747874	1.11202468747874E20	1.56462794884679	0.201745168756322	1.518	33.3341795979824	0.00605220140976659	131182622436489	131182622436489	1.59246747548962E-27	2.98077122142873E-8	8.16867904735257E-7	9.90760362531216E16
0.49349	11.1249891755846	1.11249891755846E20	1.56303681113118	0.200198259442475	1.5244	33.3823431192887	0.00599713024119023	131740630649941	131740630649941	9.67055020979698E-28	2.25575364731535E-8	3.78601498529958E-7	9.90760362531216E16
